Array name	Sample name	Batch
5500024024213121906558.D05	5500024024213121906558.D05	642
5500024024213121906558.D06	5500024024213121906558.D06	642
5500024024213121906558.F01	5500024024213121906558.F01	642
5500024024213121906558.F02	5500024024213121906558.F02	642
5500024024213121906558.F03	5500024024213121906558.F03	642
5500024024213121906558.F04	5500024024213121906558.F04	642
5500024024213121906558.F05	5500024024213121906558.F05	642
5500024024213121906558.F06	5500024024213121906558.F06	642
5500024024213121906558.G01	5500024024213121906558.G01	642
5500024024213121906558.G03	5500024024213121906558.G03	642
5500024024213121906558.G04	5500024024213121906558.G04	642
5500024024213121906558.G05	5500024024213121906558.G05	642
5500024024213121906558.G06	5500024024213121906558.G06	642
5500024024213121906558.H02	5500024024213121906558.H02	642
5500024024213121906558.H03	5500024024213121906558.H03	642
5500024024213121906558.H04	5500024024213121906558.H04	642
5500024024213121906558.H05	5500024024213121906558.H05	642
5500024024213121906558.H06	5500024024213121906558.H06	642
5500024024213121906559.A01	5500024024213121906559.A01	644
5500024024213121906559.A02	5500024024213121906559.A02	644
5500024024213121906559.A03	5500024024213121906559.A03	644
5500024024213121906559.A04	5500024024213121906559.A04	644
5500024024213121906559.A05	5500024024213121906559.A05	644
5500024024213121906559.A07	5500024024213121906559.A07	645
5500024024213121906559.A08	5500024024213121906559.A08	645
5500024024213121906559.A09	5500024024213121906559.A09	645
5500024024213121906559.A10	5500024024213121906559.A10	645
5500024024213121906559.A11	5500024024213121906559.A11	645
5500024024213121906559.B01	5500024024213121906559.B01	644
5500024024213121906559.B02	5500024024213121906559.B02	644
5500024024213121906559.B03	5500024024213121906559.B03	644
5500024024213121906559.B04	5500024024213121906559.B04	644
5500024024213121906559.B06	5500024024213121906559.B06	644
5500024024213121906559.B07	5500024024213121906559.B07	645
5500024024213121906559.B08	5500024024213121906559.B08	645
5500024024213121906559.B09	5500024024213121906559.B09	645
5500024024213121906559.B10	5500024024213121906559.B10	645
5500024024213121906559.B12	5500024024213121906559.B12	645
5500024024213121906559.C01	5500024024213121906559.C01	644
5500024024213121906559.C02	5500024024213121906559.C02	644
5500024024213121906559.C03	5500024024213121906559.C03	644
5500024024213121906559.C04	5500024024213121906559.C04	644
5500024024213121906559.C05	5500024024213121906559.C05	644
5500024024213121906559.C08	5500024024213121906559.C08	645
5500024024213121906559.C09	5500024024213121906559.C09	645
5500024024213121906559.C10	5500024024213121906559.C10	645
5500024024213121906559.C11	5500024024213121906559.C11	645
5500024024213121906559.C12	5500024024213121906559.C12	645
5500024024213121906559.D01	5500024024213121906559.D01	644
5500024024213121906559.D02	5500024024213121906559.D02	644
5500024024213121906559.D03	5500024024213121906559.D03	644
5500024024213121906559.D05	5500024024213121906559.D05	644
5500024024213121906559.D06	5500024024213121906559.D06	644
5500024024213121906559.D07	5500024024213121906559.D07	645
5500024024213121906559.D08	5500024024213121906559.D08	645
5500024024213121906559.D09	5500024024213121906559.D09	645
